image_name,category
0.jpg,103
1.jpg,107
2.jpg,64
3.jpg,44
4.jpg,33
5.jpg,110
6.jpg,47
7.jpg,128
8.jpg,15
9.jpg,114
10.jpg,20
11.jpg,103
12.jpg,39
13.jpg,77
14.jpg,7
15.jpg,60
16.jpg,83
17.jpg,120
18.jpg,27
19.jpg,11
20.jpg,19
21.jpg,108
22.jpg,92
23.jpg,109
24.jpg,15
25.jpg,8
26.jpg,99
27.jpg,51
28.jpg,90
29.jpg,51
30.jpg,1
31.jpg,17
32.jpg,11
33.jpg,124
34.jpg,110
35.jpg,37
36.jpg,109
37.jpg,4
38.jpg,89
39.jpg,122
40.jpg,103
41.jpg,14
42.jpg,103
43.jpg,124
44.jpg,69
45.jpg,19
46.jpg,40
47.jpg,57
48.jpg,103
49.jpg,119
50.jpg,4
51.jpg,85
52.jpg,33
53.jpg,9
54.jpg,98
55.jpg,71
56.jpg,95
57.jpg,125
58.jpg,45
59.jpg,59
60.jpg,53
61.jpg,92
62.jpg,5
63.jpg,78
64.jpg,57
65.jpg,88
66.jpg,36
67.jpg,105
68.jpg,13
69.jpg,102
70.jpg,30
71.jpg,70
72.jpg,70
73.jpg,121
74.jpg,23
75.jpg,37
76.jpg,26
77.jpg,35
78.jpg,116
79.jpg,81
80.jpg,15
81.jpg,67
82.jpg,32
83.jpg,75
84.jpg,32
85.jpg,119
86.jpg,43
87.jpg,50
88.jpg,40
89.jpg,45
90.jpg,94
91.jpg,31
92.jpg,114
93.jpg,2
94.jpg,56
95.jpg,30
96.jpg,119
97.jpg,69
98.jpg,25
99.jpg,131
100.jpg,109
101.jpg,99
102.jpg,42
103.jpg,55
104.jpg,83
105.jpg,87
106.jpg,82
107.jpg,7
108.jpg,3
109.jpg,112
110.jpg,49
111.jpg,113
112.jpg,43
113.jpg,81
114.jpg,29
115.jpg,110
116.jpg,86
117.jpg,90
118.jpg,119
119.jpg,47
120.jpg,125
121.jpg,57
122.jpg,85
123.jpg,98
124.jpg,64
125.jpg,4
126.jpg,131
127.jpg,30
128.jpg,73
129.jpg,44
130.jpg,10
131.jpg,106
132.jpg,103
133.jpg,100
134.jpg,54
135.jpg,5
136.jpg,104
137.jpg,17
138.jpg,51
139.jpg,74
140.jpg,13
141.jpg,127
142.jpg,96
143.jpg,123
144.jpg,14
145.jpg,72
146.jpg,35
147.jpg,3
148.jpg,117
149.jpg,111
150.jpg,93
151.jpg,49
152.jpg,12
153.jpg,61
154.jpg,126
155.jpg,73
